               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.021409,           0.0083305,           0.0042297,                   0,                   0,                   0,                   0,                   0,           0.0060926,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.020934,           0.0090005,           0.0045243,                   0,                   0,                   0,                   0,                   0,           0.0057331,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.020964,           0.0081192,           0.0046608,                   0,                   0,                   0,                   0,                   0,           0.0044005,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02209,           0.0087899,           0.0037823,                   0,                   0,                   0,                   0,                   0,            0.004433,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.02007,           0.0083425,           0.0040837,                   0,                   0,                   0,                   0,                   0,           0.0049627,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.020694,           0.0085621,           0.0038493,                   0,                   0,                   0,                   0,                   0,           0.0047856,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.020811,           0.0085494,           0.0039672,                   0,                   0,                   0,                   0,                   0,           0.0049178,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.019834,           0.0083021,            0.003706,                   0,                   0,                   0,                   0,                   0,           0.0053577,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.020797,           0.0085555,           0.0034704,                   0,                   0,                   0,                   0,                   0,           0.0044277,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.020007,           0.0082586,            0.004037,                   0,                   0,                   0,                   0,                   0,           0.0048254,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.021346,            0.009092,           0.0056198,                   0,                   0,                   0,                   0,                   0,              0.0058,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.019733,           0.0083966,           0.0042514,                   0,                   0,                   0,                   0,                   0,           0.0049535,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.01911,           0.0084032,           0.0046809,                   0,                   0,                   0,                   0,                   0,           0.0043228,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.019244,           0.0087822,           0.0044646,                   0,                   0,                   0,                   0,                   0,           0.0050763,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.019314,           0.0083459,            0.003574,                   0,                   0,                   0,                   0,                   0,           0.0052106,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019818,           0.0084965,           0.0040136,                   0,                   0,                   0,                   0,                   0,           0.0053506,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.01962,           0.0090204,           0.0039604,                   0,                   0,                   0,                   0,                   0,           0.0052137,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019449,           0.0083476,            0.004133,                   0,                   0,                   0,                   0,                   0,           0.0052076,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.020186,            0.008575,           0.0051035,                   0,                   0,                   0,                   0,                   0,           0.0053515,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.018406,           0.0084018,           0.0045318,                   0,                   0,                   0,                   0,                   0,             0.00507,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.018733,           0.0088156,           0.0032159,                   0,                   0,                   0,                   0,                   0,           0.0046367,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.019418,           0.0082088,           0.0044786,                   0,                   0,                   0,                   0,                   0,           0.0049594,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.018038,           0.0083616,           0.0038566,                   0,                   0,                   0,                   0,                   0,           0.0051786,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.017675,           0.0081385,           0.0036647,                   0,                   0,                   0,                   0,                   0,           0.0062339,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.018944,           0.0082341,           0.0040419,                   0,                   0,                   0,                   0,                   0,           0.0065705,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.01833,           0.0078522,           0.0033961,                   0,                   0,                   0,                   0,                   0,           0.0059496,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.018027,           0.0080741,           0.0037393,                   0,                   0,                   0,                   0,                   0,           0.0053455,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.018543,           0.0082724,           0.0035855,                   0,                   0,                   0,                   0,                   0,           0.0052232,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.018325,           0.0082748,           0.0032589,                   0,                   0,                   0,                   0,                   0,           0.0054484,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.019341,           0.0082514,           0.0038915,                   0,                   0,                   0,                   0,                   0,           0.0058541,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.017009,            0.008139,           0.0033067,                   0,                   0,                   0,                   0,                   0,           0.0062535,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.018778,           0.0087226,           0.0034063,                   0,                   0,                   0,                   0,                   0,           0.0053967,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.018327,           0.0083888,           0.0031638,                   0,                   0,                   0,                   0,                   0,           0.0054272,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.017358,           0.0080583,           0.0022649,                   0,                   0,                   0,                   0,                   0,           0.0053591,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.01763,           0.0078032,           0.0034479,                   0,                   0,                   0,                   0,                   0,           0.0054342,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.017086,           0.0081673,           0.0028552,                   0,                   0,                   0,                   0,                   0,           0.0063907,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017776,           0.0074786,           0.0028359,                   0,                   0,                   0,                   0,                   0,           0.0059066,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.017794,           0.0077957,           0.0024687,                   0,                   0,                   0,                   0,                   0,           0.0051231,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.017963,           0.0074982,           0.0030187,                   0,                   0,                   0,                   0,                   0,           0.0056441,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.017187,           0.0079824,           0.0030806,                   0,                   0,                   0,                   0,                   0,           0.0058217,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016409,           0.0075474,           0.0025415,                   0,                   0,                   0,                   0,                   0,           0.0058859,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.017598,           0.0080733,           0.0028361,                   0,                   0,                   0,                   0,                   0,           0.0057599,                   0,            0.007294,            0.007294,            0.007294
                  84,             0.01831,           0.0082376,           0.0027898,                   0,                   0,                   0,                   0,                   0,            0.005485,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017981,           0.0077849,           0.0031609,                   0,                   0,                   0,                   0,                   0,           0.0051128,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.017208,           0.0082586,           0.0030537,                   0,                   0,                   0,                   0,                   0,            0.006191,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.016443,           0.0071104,           0.0040613,                   0,                   0,                   0,                   0,                   0,           0.0060283,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.017537,           0.0078537,           0.0039727,                   0,                   0,                   0,                   0,                   0,           0.0059048,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.017645,           0.0079285,           0.0027263,                   0,                   0,                   0,                   0,                   0,           0.0055929,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.016706,           0.0077519,           0.0034201,                   0,                   0,                   0,                   0,                   0,           0.0058973,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.018464,           0.0086057,           0.0031571,                   0,                   0,                   0,                   0,                   0,           0.0056833,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016332,           0.0072591,            0.003741,                   0,                   0,                   0,                   0,                   0,             0.00551,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.016549,           0.0076965,           0.0029119,                   0,                   0,                   0,                   0,                   0,           0.0057397,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.01712,           0.0077433,           0.0036646,                   0,                   0,                   0,                   0,                   0,           0.0057999,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.016268,           0.0075476,           0.0027991,                   0,                   0,                   0,                   0,                   0,           0.0061047,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.015454,           0.0075233,           0.0030434,                   0,                   0,                   0,                   0,                   0,           0.0066269,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.01557,           0.0075474,            0.002737,                   0,                   0,                   0,                   0,                   0,           0.0066126,                   0,            0.006832,            0.006832,            0.006832
                  98,             0.01678,            0.007323,           0.0033613,                   0,                   0,                   0,                   0,                   0,           0.0071434,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.016247,           0.0077823,           0.0027996,                   0,                   0,                   0,                   0,                   0,           0.0073585,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.017588,           0.0078314,           0.0029652,                   0,                   0,                   0,                   0,                   0,           0.0072588,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.016505,           0.0074167,           0.0023858,                   0,                   0,                   0,                   0,                   0,           0.0071791,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.016701,           0.0076367,           0.0025643,                   0,                   0,                   0,                   0,                   0,           0.0067762,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.017005,           0.0072279,           0.0035225,                   0,                   0,                   0,                   0,                   0,           0.0063767,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.016695,           0.0074977,           0.0026612,                   0,                   0,                   0,                   0,                   0,           0.0068413,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.016724,           0.0076333,           0.0020318,                   0,                   0,                   0,                   0,                   0,           0.0062422,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.017033,           0.0073074,            0.002684,                   0,                   0,                   0,                   0,                   0,           0.0058557,                   0,            0.006535,            0.006535,            0.006535
                 107,             0.01682,           0.0073047,           0.0022558,                   0,                   0,                   0,                   0,                   0,           0.0057407,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.015886,           0.0071162,              0.0028,                   0,                   0,                   0,                   0,                   0,           0.0059347,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.015442,           0.0075686,           0.0031989,                   0,                   0,                   0,                   0,                   0,           0.0062778,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.014937,           0.0075211,           0.0024138,                   0,                   0,                   0,                   0,                   0,           0.0065857,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.016189,           0.0069551,           0.0022244,                   0,                   0,                   0,                   0,                   0,           0.0066327,                   0,             0.00637,             0.00637,             0.00637
